line 17:     "question": "Has the silver car turning onto the road already passed the nearby streetlight?",
line 1382:     "question": "If the man in the blue hat walked to the streetlight in 10 s, what was his speed?",
line 1395:     "question": "Can the person in the red jacket pushing the cart pass between the billboard and the woman with the white scarf on the left?",
line 1473:     "question": "If a bird flew from the red house to me in 10 s, what was its speed?",
line 1486:     "question": "If the person under the white tent closest to the camera walks to the GUESS store at 0.5 m/s, how long does it take?",
line 1512:     "question": "Is the space between the green farm vehicle and the bush behind it wide enough for a lawn mower that's 1 meter wide to pass through?",
line 1590:     "question": "If the man in blue walks from the photographer's location to that spot at 2 m/s, how long does it take?",
line 1603:     "question": "If the woman in red walked to the traffic light in 10 s, what was her speed?",
line 1655:     "question": "If the person in the yellow jersey walks to the man in blue at 1 m/s, how long does it take?",
line 1681:     "question": "If the person in red walks to the step in front of the gate at 0.7 m/s, how long will it take?",
line 1785:     "question": "If you're standing in the snow taking this photo, how many seconds will it take for a silver fox to run from the large tree on the left side of the image to you at a speed of 2 m/s?",
line 1798:     "question": "If the cat walked from the windowsill to the red pen in 2 s, what was its speed?",
line 1863:     "question": "Is the empty space in front of the white car near the crosswalk large enough for the red moving car to park?",
line 2006:     "question": "If the elderly man in red walks at 0.1 m/s, how long will it take him to reach the photographer?",
line 2019:     "question": "Is the open space between the stone benches and the flower bed behind them wide enough for the black car on the left to drive through?",
line 2032:     "question": "If the man in black walks at 0.1 m/s, how long will it take him to reach the photographer?",
line 2045:     "question": "Is there enough space between the car and the man in black for another person to fit?",
line 2058:     "question": "If the black car drives at 5 m/s, how long will it take to reach the white car's current position?",
line 2071:     "question": "If the black car took 1 s to drive from the camera to where it is now, what is its speed?",
line 2084:     "question": "If the photographer rides a bike to the silver car at 5 m/s, how long will it take?",
line 2123:     "question": "If the red car took 10 s to reach the white car, what was its speed?",
line 2149:     "question": "If someone walks from the red billboard to the stairs at 1 m/s, how many seconds will it take?",
line 2318:     "question": "If the man in the red hat moved from the red-marked tree to his current spot in 2 s, what was his speed?",
line 2331:     "question": "Is the gap between the athlete and the red-marked tree wide enough for a 1.5-meter snowmobile to pass?",
line 2370:     "question": "Is there enough room on the right side of the silver car for another one of the same size to park?",
line 2409:     "question": "If the man in red walks to me at 2 m/s, how long does it take?",
line 2448:     "question": "If the cat walks from its current spot to the back of the dark gray car in the upper left in 2 s, what is its speed?",
line 2474:     "question": "Is the gap between the silver car nearest the trash and the red car blocking the road wide enough for a person to pass?",
line 2513:     "question": "If the man in the red cap walks to me in 2 s, what is his speed?",
line 2526:     "question": "If the man sitting by the phone walks to the man in the red cap at 1 m/s, how long does it take?",
line 2591:     "question": "Can a 0.8-meter-wide shopping cart be pushed between the man smoking and the woman in white?",
line 2721:     "question": "If a bird flew from the white tree closest to the man in blue to the street sign in 4 s, what was its speed?",
line 2734:     "question": "If the person in red walks to the person in blue at 2 m/s, how long does it take?",
line 2747:     "question": "If the woman with a white shoulder bag walked to the blonde woman with boots and a black bag in 10 s, what was her speed?",
line 2773:     "question": "If the woman in red walks at a speed of 5 m/s, how long will it take her to reach the nearest tree in front of her?",
line 2786:     "question": "If your walking speed is 2 m/s and the woman in red stops moving, how long will it take you to catch up with her?",
line 2851:     "question": "If the blue balloon floated to the camera in 10 s, what was its speed?",
line 2864:     "question": "If the girl in yellow with a golden ponytail walks across the sand to the woman and child in plaid at 0.3 m/s, how long does it take?",
line 2877:     "question": "If the white car on the left drove from the traffic light to its current spot in 5 s, what was its speed?",
line 2942:     "question": "If the red boat sails to the riverside with houses at 5 m/s, how long will it take?",
line 2981:     "question": "Is there enough space on the left of the white car for another one of the same size to park?",
line 2994:     "question": "If the person near the corner walks to the red car at 1 m/s, how long will it take?",
line 3020:     "question": "Is there enough space between the black and red cars to park another red car of the same size?",
line 3046:     "question": "If the person in red walks to the Christmas tree at 0.5 m/s, how long will it take?",
line 3059:     "question": "If the bus takes 5 s to reach the person in red, what is its speed?",
line 4697:     "question": "How many boxes with white labels can be placed in the delivery van?",
line 4723:     "question": "Can the platform with the black car hold all the vehicles currently on the ground?",
line 4775:     "question": "What should the white robotic arm pick up?",
line 4853:     "question": "Which direction should the white robot place the object toward?",
line 4866:     "question": "Which direction should the yellow robotic arm move to grab the object?",
line 5516:     "question": "As I'm driving forward, can I overtake the white car on the right?",
line 5893:     "question": "The white vehicle is slower than me. Am I allowed to overtake it from the right?",
line 5906:     "question": "The white vehicle is slower than me. Am I allowed to overtake it from the left?",
line 6439:     "question": "What color clothes are placed in the first position on the left of the bottom layer of the wardrobe?",
line 6452:     "question": "What color clothing is placed in the third spot from the left on the bottom layer?",
line 6517:     "question": "Which row has the most blue bottles?",
line 6660:     "question": "Where is the white-box brown Dove chocolate located?",
line 6803:     "question": "Where is the blue correction tape?",
line 6894:     "question": "Where is the pink cereal box located on the shelf?",
line 6920:     "question": "Where is the red product with the ingredient label facing outward?",
line 7011:     "question": "Where is the blue Tempt Hempmilk located on the shelf?",
line 7050:     "question": "Where are the brown Adidas shoes located?",
line 7063:     "question": "What is the color of the wine bottle that is the fifth from the right and the tenth from the bottom?",
line 7076:     "question": "On which layer are the bottles with red-wrapped caps placed horizontally?",
line 7089:     "question": "Where is the white bottle located?",
line 7102:     "question": "Where is the wine bottle with the white cap located?",
line 7752:     "question": "What will you pass by when walking from North Campus Green to the High Altitude Training Center?",
line 8025:     "question": "Which direction should you walk from the white long table to the sofa?",
line 8090:     "question": "If you're in the room with a computer and facing the door, how to walk to the room that have white sofa?",
line 8103:     "question": "Is there a glass window behind the white sofa?",
line 8259:     "question": "Can I pass a restroom when walking from Yellow E to Purple B?",
line 8402:     "question": "Where will I end up if I follow the blue path to the end?",
line 8415:     "question": "How do I get from the green room on the first floor to the men's restroom on the second floor?",
line 8571:     "question": "How should I go to get to Gold Street?",
line 8649:     "question": "What are the advantages of the green route and the red route respectively?",
line 8792:     "question": "Which of the following buildings is not along the blue route?",
line 8831:     "question": "What is the full sequence of turns needed to reach the green dot?",
line 9013:     "question": "Are there transfer stations on the yellow line?",
line 9026:     "question": "Who does the black route pass by?",
line 9039:     "question": "Can I transfer from the green line to the yellow line?",
line 9065:     "question": "Which locations are along the yellow route?",
line 9404:     "question": "In which option do two sets of small black dots have the same relative orientation?",
line 9500:     "question": "In which option do two sets of small black dot and the triangle both have the same relative orientation?",
line 11504:     "question": "From the boy sitting on the goalpost, is the man in yellow on his left or right?",
line 11517:     "question": "From the perspective of the player wearing jersey number 10 in purple, where is the basketball?",
line 11543:     "question": "From the dunker's viewpoint, which white-uniformed player is the farthest from them?",
line 11556:     "question": "From the perspective of the player wearing number 4 in white, how many players are on his left?",
line 11582:     "question": "From the view of the number 5 white-uniformed player, how many people are on his left?",
line 11595:     "question": "From the viewpoint of the cyclist in white, which side is the car ahead coming from?",
line 11621:     "question": "From the man in blue's perspective, how many people are on his right?",
line 11634:     "question": "From the worker wearing orange gloves, how many people are on his left?",
line 11673:     "question": "From the viewpoint of the person holding the yellow balloon, how many people are on her right?",
line 11686:     "question": "From the number 5 white-uniformed player's view, in which direction is the number 12 player moving?",
line 11699:     "question": "From the red number 10 player's viewpoint, where is the yellow number 3 player?",
line 11712:     "question": "From the black-uniformed player's perspective, which side is the green-uniformed player on?",
line 11725:     "question": "According to the number 11 player in white, which numbered player is closest to him?",
line 11738:     "question": "From the number 7 white-uniformed player's viewpoint, in which direction is he moving?",
line 11751:     "question": "From the black-uniformed player's perspective, which direction is he moving?",
line 11764:     "question": "From the number 19 player in white's perspective, which direction is the ball handler?",
line 11777:     "question": "Which player is farthest from the player wearing number 8 in blue?",
line 11803:     "question": "From the woman in the green dress's viewpoint, how many rays are on her right?",
line 11842:     "question": "Who is farthest from the girl in the green short-sleeved shirt?",
line 11868:     "question": "From the boy in yellow's viewpoint, how many people are on his right?",
line 11881:     "question": "According to the boy in yellow, where is the teacher standing?",
line 11920:     "question": "From the perspective of the elderly woman in the white hat, who is farthest from her?",
line 11933:     "question": "From the man in the white tank top's view, how many people are on his right?",
line 11946:     "question": "From the man in gray's perspective, where is the woman relative to him?",
line 11972:     "question": "From the man in white's perspective, how many people are on his right?",
line 11985:     "question": "From the man in the white shirt's viewpoint, how many are on his left?",
line 12011:     "question": "From the man wearing the red hat, how many people are on his left?",
line 12024:     "question": "From the man in blue pants' perspective, how many people are to his right in the same row?",
line 12037:     "question": "From the man in the blue shirt's perspective, how many people are on his left in the same row?",
line 12050:     "question": "From the woman in the gray top's perspective, who is farthest from her?",
line 12063:     "question": "From this woman's perspective, where is the white camel?",
line 12076:     "question": "From the player in the white jersey's view, where is the referee?",
line 12089:     "question": "From the player in black's perspective, which direction is the woman in orange?",
line 12128:     "question": "From the diver's perspective, where is the yellow fish?",
line 12141:     "question": "From the person in the blue diving suit's perspective, how many people are on his left?",
line 12154:     "question": "From the woman in white holding the trophy, how many people are to her right?",
line 12193:     "question": "From the man in the blue cap's perspective, where is the buffalo?",
line 12232:     "question": "From the person with red gloves, where is the person in red shorts?",
line 12245:     "question": "From the man in white's perspective, what are the opponent's blocking and attacking directions?",
line 12258:     "question": "From the man in black shorts, where is the person not holding a sword?",
line 12271:     "question": "From the person in the red headscarf, in which direction is the one in the white headscarf swinging the blade?",
line 12284:     "question": "From the person wearing white shoes, in which direction is the other person swinging the bat?",
line 12297:     "question": "From the woman in white's perspective, how many people are on her right?",
line 12310:     "question": "For the person wearing the yellow mask, is the opponent blocking on the left or right?",
line 12362:     "question": "From the blond athlete's point of view, where is the brown-haired athlete?",
line 12453:     "question": "From the player in the black helmet, how many people are on his left?",
line 12479:     "question": "From the man in the gray hoodie's perspective, how many people are on his left?",
line 12492:     "question": "From the perspective of the woman in the white sports vest, where is the man in the orange jersey?",
line 12557:     "question": "From the skier in the blue suit's perspective, how many people are on his left?",
line 12583:     "question": "Which direction is the skier with the red helmet sliding from his perspective?",
line 12687:     "question": "From the monkey eating red food, how should it turn to make the other monkeys end up on its right?",
line 12739:     "question": "From the white fox facing left, where is the other white fox?",
line 12752:     "question": "From the closed-mouth white fox, which direction is the open-mouth fox walking?",
line 12765:     "question": "From the gray fox facing the camera, which direction is the other gray fox in?",
line 12778:     "question": "From the two clownfish at the top, where is the white seaweed?",
line 12804:     "question": "From the sled dog in front wearing red booties, how many dogs are on its left?",
line 12960:     "question": "From the red-tailed fish's perspective, which direction is the blue-tailed fish in?",
line 12973:     "question": "From the black goldfish's point of view, how many other fish are on its right?",
line 12999:     "question": "From the blue mouse's perspective, how many animals are on its right?",
line 13220:     "question": "From the perspective of the white-spotted fish without orange, how many fish are on its left?",
line 13233:     "question": "From the red goldfish's point of view, where are the other two fish?",
line 13246:     "question": "From the white bird in the water's perspective, how many animals are on its left?",
line 13272:     "question": "From the perspective of the black-and-yellow bird, how many birds are on its right?",
line 13298:     "question": "From the wild boar's point of view, where is the black bear?",
line 13337:     "question": "From the black cat's perspective, how many other cats are behind it?",
line 13363:     "question": "From the brown dog's perspective, how many dogs are on its left?",
line 13376:     "question": "From the brown-and-white dog's perspective, how many animals are on its right?",
line 13402:     "question": "From the red parrot's point of view, where is the other parrot?",
line 13441:     "question": "From the white parrot's perspective, where is the other parrot?",
line 13454:     "question": "From the red-headed bird's perspective, how many birds are on its right?",
line 13480:     "question": "From the dark green bird's perspective, where is the other bird?",
line 13506:     "question": "From the orange-and-black bird's perspective, how many birds are on its right?",
line 13571:     "question": "From the howling black wolf's perspective, how many wolves are on its left?",
line 13597:     "question": "From the white seal's perspective, where is the other seal?",
line 13610:     "question": "From the dark brown dog's perspective, where is the other dog?",
line 13649:     "question": "From the yellow monkey's perspective, how many monkeys are on its right?",
line 13701:     "question": "If you sat in the empty chair behind the referee, would the player in blue be looking to your left or right?",
line 13727:     "question": "If you're seated in the stands, in which direction is the red player dribbling?",
line 13766:     "question": "If you're at the bottom of the stairs facing away from them, where is the red chair?",
line 13805:     "question": "If you are in the green car, where is the yellow-and-black car relative to you?",
line 13818:     "question": "If you are in the tricycle, where is the white electric bike?",
line 13870:     "question": "If you are facing the fruit tree, where is the yellow lemon?",
line 14195:     "question": "If you're sitting across from the girl in pink, how many people are on your left?",
line 14208:     "question": "If you're sitting to the right of the boy in blue, how many people are on your right?",
line 14247:     "question": "If you're sitting in the center of the front row in the gray seat, where is the nearest fire extinguisher?",
line 14299:     "question": "If you're sitting on the yellow sofa, where is the ceramic vase?",
line 14481:     "question": "If you're about to enter the house through the open door, on which side will you see the red plant?",
line 14585:     "question": "While standing on the red building's balcony facing the river, where is the boat in your field of view?",
line 14598:     "question": "If you're steering the red boat, how many other boats are on your left side?",
line 14663:     "question": "Watching the gray kayak from the shore, which way is it paddling in your view?",
line 14676:     "question": "From your position on the shore, which direction is the red kayak moving?",
line 14689:     "question": "Standing on the riverbank, which direction is the white motorboat heading from your angle?",
line 14702:     "question": "If you're sitting next to the woman in the green jacket on the bench, where is the elderly person in the wheelchair relative to you?",
line 14715:     "question": "Facing the stage while standing on the red carpet, which side is the mural from where you stand?",
line 14741:     "question": "Standing across from the bald man and facing him, on which side do you see the man with white hair?",
line 14767:     "question": "If you're sitting against the wall to the right of the man in yellow, where is the woman from your point of view?",
line 14793:     "question": "From the white rabbit's point of view, is the fox on its left or right?",
line 14806:     "question": "Looking from the white car's perspective, how many cars are to its right?",
line 14819:     "question": "From the red car's point of view, how many cars are on its left?",
line 14832:     "question": "If you're driving the yellow car spiraling downward, how many cars are on your right?",
line 14845:     "question": "Seen from the red car's angle, how many cars are to its right?",
line 14858:     "question": "From the vantage point of the yellow car, how many vehicles are on its right?",
line 14871:     "question": "Thinking from where the white car is, which direction is the black car?",
line 15027:     "question": "Thinking from where the full-length mirror is, which side is the white wooden door?",
line 15053:     "question": "From the TV on the blue wall's viewpoint, how many people are on its right?",
line 15196:     "question": "From the vantage point of the picture above the freezer, which way is the blue kettle?",
line 15222:     "question": "Seen from the hanging painting on the wall, where is the black wooden door?",
line 15248:     "question": "From the black train's point of view, in which direction is the blue-and-white aircraft?",
line 15274:     "question": "Where is the man in the black coat, as seen from the wall-mounted TV outside?",
line 15287:     "question": "Judging from the brown seat, which direction is the pyramid?",
line 15365:     "question": "Seen from Car No.845, where is the man wearing the black hat?",
line 15391:     "question": "From the blonde woman's car, where is the vehicle with the man in white?",
line 15443:     "question": "From the pink boat's perspective, how many other boats are on its left?",
line 15456:     "question": "Seen from the red boat, where is the blue boat?",
line 15482:     "question": "Thinking from the blue aircraft's perspective, which direction is the red one?",
line 15495:     "question": "From the toy blue shark's viewpoint, where is the red crab?",
line 15508:     "question": "From the perspective of the toy puppy, where is the blue car?",
line 15638:     "question": "Where is the other inflatable boat, seen from the red one?",
line 15651:     "question": "From the blue inflatable boat's point of view, how many boats are on its left?",
line 15690:     "question": "Where is the model plane, from the green truck's angle?",
line 15703:     "question": "From the perspective of the projection screen, where is the black door?",
line 15885:     "question": "From the gray-colored person's viewpoint, how many others are standing more than a step away?",
line 15898:     "question": "From the perspective of the child with the green helmet, how many people are about 3 meters away?",
line 15937:     "question": "From the athlete wearing yellow-green shoes, which direction is the seated person behind him facing?",
line 15989:     "question": "Which hand is the red-armored player using to raise the shield?",
line 16184:     "question": "From the gymnast in the yellow T-shirt's viewpoint, which foot is touching the ground?",
line 16301:     "question": "From the competitor wearing a blue headscarf, which foot is she standing on?",
line 16418:     "question": "From the white-clad athlete's perspective, which of her arms is being controlled?",
line 16431:     "question": "Which foot of the athlete in blue is resting on the left leg of the athlete in white?",
line 16444:     "question": "On which arm of the athlete in blue is the athlete in white resting his head?",
line 16457:     "question": "Which arm of the athlete in blue is placed on the shoulder of the athlete in white?",
line 16470:     "question": "Which leg of the person in blue is being held by the person in white?",
line 16496:     "question": "Which leg of the athlete in white is resting across the chest of the athlete in blue?",
line 16509:     "question": "Which leg of the athlete in white is positioned in front of the athlete in blue?",
line 16548:     "question": "Which hand is the fencer in black shorts using to hold the sword?",
line 16587:     "question": "Which hand of the blue-clad swordsman is not holding a sword?",
line 16626:     "question": "Which arm is the athlete in blue using to lock the red-clad opponent's neck?",
line 16795:     "question": "Where is the white-clad athlete's right arm positioned on the blue-clad athlete's body?",
line 16808:     "question": "From the red athlete's perspective, on which side is the gray athlete?",
line 16821:     "question": "Which hand is the athlete in white pants using to catch the sword?",
line 16873:     "question": "Which type of block is being performed from the yellow-shoed athlete's perspective?",
line 16899:     "question": "Which leg of the white-clad athlete is being hit?",
line 16912:     "question": "From the yellow-vested referee's perspective, did the left or right athlete's spear light up?",
line 17198:     "question": "If the section with a green light is in front of the robot, and the robot carrying cargo on a wide passage needs to move the cargo to a position closer to the camera, from its perspective, should it move forward or backward?",
line 17406:     "question": "From the perspective of the robot with the red flag, which one is closer?",
line 17471:     "question": "Which person is closer to the red retreat robot on the edge of the table, from its perspective?",
line 17666:     "question": "How many white robot modules are there in the picture?",
line 17978:     "question": "From the photographer's perspective, what will the mechanical arm holding the blue cylinder do next?",
line 18212:     "question": "In the picture, where is the yellow robot?",
line 18706:     "question": "In the picture, which side of the blue-uniformed staff member is the robotic arm on?",
line 18732:     "question": "In the picture, which side of the white-clothed staff member is the tallest robot on?",
